@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

horse-colic,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-4523450618538717400,20191123.2351,184,184,143,41,0,77.717391,22.282609,0,0.531778,0.24126,0.417158,51.734883,86.423819,174.863251,178.456495,-3.593244,0.950344,0.969872,-0.019528,84.134623,0.457253,8843.130032,0.793103,92,0.25,17,0.75,51,0.206897,24,0.844037,0.793103,0.817778,0.533485,0.830122,0.876275,0.777174,0.23407,0.76593,0.222826,0.783414,0.777174,0.779162,0.533485,0.830122,0.83433,0.765532,0.777174,0.034,0.001,0.033831,0.000397,33.831,0.397,19591,43698,43698,91.304348,71.73913,?
german_credit,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-4523450618538717400,20191123.2351,500,500,345,155,0,69,31,0,0.329585,0.353335,0.45175,84.063544,98.579821,440.646539,429.804686,10.841853,0.881293,0.859609,0.021684,52.239656,0.104479,5921.099689,0.702857,246,0.34,51,0.66,99,0.297143,104,0.828283,0.702857,0.760433,0.338602,0.758514,0.881568,0.69,0.327143,0.672857,0.31,0.726103,0.69,0.700575,0.338602,0.758514,0.785858,0.66067,0.69,0.103,0.001,0.102662,0.001038,102.662,1.038,19360,102823,102823,99.4,93.9,?
heart-statlog,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-4523450618538717400,20191123.2351,135,135,107,28,0,79.259259,20.740741,0,0.585526,0.268029,0.388118,54.265941,78.107052,133.795527,92.935924,40.859603,0.991078,0.688414,0.302664,63.949576,0.473701,6450.852791,0.76,57,0.166667,10,0.833333,50,0.24,18,0.850746,0.76,0.802817,0.589676,0.866222,0.863471,0.792593,0.199259,0.800741,0.207407,0.799434,0.792593,0.793232,0.589676,0.866222,0.863281,0.792033,0.792593,0.019,0,0.016956,0.000215,16.956,0.215,8967,20847,20847,97.777778,87.037037,?
hepatitis,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-4523450618538717400,20191123.2351,78,77,61,16,0,79.220779,20.779221,0,0.467128,0.291713,0.40447,87.870605,99.683356,56.774983,56.52057,0.254413,0.737337,0.734033,0.003304,-0.523114,-0.006794,-70.100438,0.75,12,0.196721,12,0.803279,49,0.25,4,0.5,0.75,0.6,0.484647,0.841189,0.55697,0.792208,0.238929,0.761071,0.207792,0.836315,0.792208,0.805696,0.484647,0.841189,0.872501,0.729825,0.792208,0.01,0,0.009919,0.000126,9.919,0.126,12068,17900,17711,97.402597,87.662338,?
labor,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-4523450618538717400,20191123.2351,29,28,24,4,0,85.714286,14.285714,0,0.702128,0.266419,0.335844,58.103392,70.089657,26.328475,14.55161,11.776864,0.940303,0.5197,0.420602,11.803396,0.42155,1257.934901,0.9,9,0.166667,3,0.833333,15,0.1,1,0.75,0.9,0.818182,0.710047,0.930556,0.832778,0.857143,0.12381,0.87619,0.142857,0.870536,0.857143,0.859435,0.710047,0.930556,0.911845,0.850267,0.857143,0.005,0,0.004767,0.000054,4.767,0.054,12760,7673,7508,100,91.071429,?
sonar,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-4523450618538717400,20191123.2351,104,104,70,34,0,67.307692,32.692308,0,0.348083,0.412208,0.444725,82.802068,89.190754,103.586755,86.743196,16.843559,0.996026,0.834069,0.161957,20.478063,0.196904,2052.55272,0.708333,34,0.357143,20,0.642857,36,0.291667,14,0.62963,0.708333,0.666667,0.350409,0.773438,0.768508,0.673077,0.321886,0.678114,0.326923,0.678291,0.673077,0.67344,0.350409,0.773438,0.78253,0.672956,0.673077,0.022,0.001,0.02007,0.000237,20.07,0.237,17813,58058,58058,100,99.519231,?
vote,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-4523450618538717400,20191123.2351,217,218,205,13,0,94.036697,5.963303,0,0.877114,0.178399,0.246161,37.609815,50.579652,209.658789,78.798853,130.859935,0.961738,0.361463,0.600275,142.539218,0.65385,14792.659283,0.910448,122,0.011905,1,0.988095,83,0.089552,12,0.99187,0.910448,0.949416,0.881894,0.949271,0.958092,0.940367,0.041824,0.958176,0.059633,0.94633,0.940367,0.940923,0.881894,0.949271,0.923327,0.938395,0.940367,0.028,0.001,0.025043,0.000375,25.043,0.375,12009,39242,39407,100,100,?
breast-cancer,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.VotedPerceptron -- -I 1 -E 1.0 -S 1 -M 10000',-4523450618538717400,20191123.2351,143,143,99,44,0,69.230769,30.769231,0,0.094676,0.305864,0.551172,73.015088,120.986924,124.951512,6300.681032,-6175.72952,0.873787,44.060707,-43.18692,26.736901,0.186971,3019.531222,0.910891,92,0.833333,35,0.166667,7,0.089109,9,0.724409,0.910891,0.807018,0.11206,0.588402,0.749682,0.692308,0.61475,0.38525,0.307692,0.640142,0.692308,0.640886,0.11206,0.595879,0.647021,0.524198,0.692308,0.001,0,0.000798,0.000554,0.798,0.554,161693,18711,18711,69.93007,50.34965,?
horse-colic,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.VotedPerceptron -- -I 1 -E 1.0 -S 1 -M 10000',-4523450618538717400,20191123.2351,184,184,116,68,0,63.043478,36.956522,0,0,0.36892,0.605028,79.10977,125.345229,174.863251,4880.112454,-4705.249203,0.950344,26.52235,-25.572007,32.284529,0.175459,3393.327029,1,116,1,68,0,0,0,0,0.630435,1,0.773333,0,0.552485,0.656692,0.630435,0.630435,0.369565,0.369565,0.397448,0.630435,0.487536,0,0.556959,0.579339,0.386667,0.630435,0.005,0.001,0.001214,0.001239,1.214,1.239,199952,43698,43698,64.673913,51.358696,?
german_credit,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.VotedPerceptron -- -I 1 -E 1.0 -S 1 -M 10000',-4523450618538717400,20191123.2351,500,500,350,150,0,70,30,0,0,0.3,0.547723,71.374408,119.52268,440.646539,35490.298006,-35049.651467,0.881293,70.980596,-70.099303,103.243267,0.206487,11702.099881,1,350,1,150,0,0,0,0,0.7,1,0.823529,0,0.5,0.7,0.7,0.7,0.3,0.3,0.49,0.7,0.576471,0,0.501286,0.580543,0.411765,0.7,0.004,0.008,0.004209,0.007964,4.209,7.964,367026,102823,102823,70,50,?
